Simulated Trades
Date | Company | Action | Price
2491 | AAPL | BUY | $17.94
2490 | AAPL | SELL | $17.96
2488 | AAPL | BUY | $17.96
2487 | AAPL | SELL | $17.45
2472 | AAPL | BUY | $16.60
2465 | AAPL | SELL | $17.24
2454 | AAPL | BUY | $17.72
2443 | AAPL | SELL | $18.45
2431 | AAPL | BUY | $18.86
2429 | AAPL | SELL | $18.52
2426 | AAPL | BUY | $18.61
2408 | AAPL | SELL | $19.67
2405 | AAPL | BUY | $20.36
2402 | AAPL | SELL | $20.00
2390 | AAPL | BUY | $19.91
2388 | AAPL | SELL | $19.31
2386 | AAPL | BUY | $19.70
2384 | AAPL | SELL | $19.50
2370 | AAPL | BUY | $19.44
2366 | AAPL | SELL | $18.97
2361 | AAPL | BUY | $18.85
2350 | AAPL | SELL | $18.74
2348 | AAPL | BUY | $18.98
2341 | AAPL | SELL | $19.20
2326 | AAPL | BUY | $18.75
2323 | AAPL | SELL | $18.74
2322 | AAPL | BUY | $20.28
2307 | AAPL | SELL | $21.03
2306 | AAPL | BUY | $21.34
2283 | AAPL | SELL | $22.96
2278 | AAPL | BUY | $22.73
2264 | AAPL | SELL | $23.27
2261 | AAPL | BUY | $23.68
2254 | AAPL | SELL | $23.90
2244 | AAPL | BUY | $24.38
2236 | AAPL | SELL | $25.22
2235 | AAPL | BUY | $25.53
2223 | AAPL | SELL | $25.41
2220 | AAPL | BUY | $25.45
2219 | AAPL | SELL | $25.24
2217 | AAPL | BUY | $25.66
2215 | AAPL | SELL | $24.47
2212 | AAPL | BUY | $25.19
2203 | AAPL | SELL | $24.95
2198 | AAPL | BUY | $24.94
2159 | AAPL | SELL | $27.06
2156 | AAPL | BUY | $28.16
2152 | AAPL | SELL | $28.00
2151 | AAPL | BUY | $28.50
2149 | AAPL | SELL | $28.13
2136 | AAPL | BUY | $27.18
2131 | AAPL | SELL | $27.29
2130 | AAPL | BUY | $28.83
2111 | AAPL | SELL | $32.20
2097 | AAPL | BUY | $31.76
2094 | AAPL | SELL | $31.48
2088 | AAPL | BUY | $31.59
2075 | AAPL | SELL | $31.19
2074 | AAPL | BUY | $31.90
2067 | AAPL | SELL | $32.16
2056 | AAPL | BUY | $32.24
2049 | AAPL | SELL | $32.41
2048 | AAPL | BUY | $33.01
2046 | AAPL | SELL | $32.57
2030 | AAPL | BUY | $31.90
2029 | AAPL | SELL | $31.76
2028 | AAPL | BUY | $32.03
2026 | AAPL | SELL | $31.69
2015 | AAPL | BUY | $31.40
2009 | AAPL | SELL | $31.30
1984 | AAPL | BUY | $27.42
1969 | AAPL | SELL | $28.48
1967 | AAPL | BUY | $28.80
1966 | AAPL | SELL | $28.35
1965 | AAPL | BUY | $28.58
1962 | AAPL | SELL | $28.11
1951 | AAPL | BUY | $27.95
1950 | AAPL | SELL | $27.55
1949 | AAPL | BUY | $27.96
1942 | AAPL | SELL | $28.82
1940 | AAPL | BUY | $29.82
1928 | AAPL | SELL | $28.09
1925 | AAPL | BUY | $29.32
1920 | AAPL | SELL | $29.51
1918 | AAPL | BUY | $29.57
1908 | AAPL | SELL | $28.12
1901 | AAPL | BUY | $27.15
1899 | AAPL | SELL | $26.70
1898 | AAPL | BUY | $27.18
1897 | AAPL | SELL | $26.83
1882 | AAPL | BUY | $25.36
1879 | AAPL | SELL | $23.36
1877 | AAPL | BUY | $24.34
1864 | AAPL | SELL | $24.07
1862 | AAPL | BUY | $24.22
1861 | AAPL | SELL | $23.67
